date,item_name,category,quantity_sold,unit_price,stock_left
2025-02-14,Charm,Gold Jewelry,7,4592466.0,79
2025-02-15,Gold Bar,Gold Jewelry,1,4061596.0,52
2025-02-16,Earring,Gold Jewelry,0,2311816.0,89
2025-02-17,Bracelet,Gold Jewelry,5,2814145.0,61
2025-02-18,Anklet,Gold Jewelry,11,3041481.0,56
2025-02-19,Bangle,Gold Jewelry,12,2087007.0,52
2025-02-20,Necklace,Gold Jewelry,9,3130710.0,54
2025-02-21,Ring,Gold Jewelry,2,4255824.0,86
2025-02-22,Bracelet,Gold Jewelry,0,4364377.0,61
2025-02-23,Earring,Gold Jewelry,5,2219569.0,84
2025-02-24,Bangle,Gold Jewelry,1,4938756.0,51
2025-02-25,Bracelet,Gold Jewelry,6,2834064.0,55
2025-02-26,Earring,Gold Jewelry,11,3881207.0,73
2025-02-27,Pendant,Gold Jewelry,1,3637973.0,81
2025-02-28,Pendant,Gold Jewelry,5,3740952.0,76
2025-03-01,Charm,Gold Jewelry,0,3511071.0,79
2025-03-02,Bracelet,Gold Jewelry,2,4623165.0,53
2025-03-03,Pendant,Gold Jewelry,1,4421677.0,75
2025-03-04,Earring,Gold Jewelry,6,2768954.0,67
2025-03-05,Charm,Gold Jewelry,13,4939556.0,66
2025-03-06,Earring,Gold Jewelry,3,2739173.0,64
2025-03-07,Charm,Gold Jewelry,0,4885380.0,66
2025-03-08,Bracelet,Gold Jewelry,5,3772957.0,48
2025-03-09,Bangle,Gold Jewelry,11,2349775.0,40
2025-03-10,Anklet,Gold Jewelry,9,2713447.0,47
2025-03-11,Brooch,Gold Jewelry,3,3095904.0,79
2025-03-12,Bangle,Gold Jewelry,4,3014114.0,36
2025-03-13,Gold Bar,Gold Jewelry,12,5015748.0,40
2025-03-14,Earring,Gold Jewelry,12,4649987.0,52
2025-03-15,Gold Bar,Gold Jewelry,14,4790413.0,26
2025-03-16,Bangle,Gold Jewelry,14,4088259.0,22
2025-03-17,Charm,Gold Jewelry,8,2839125.0,58
2025-03-18,Brooch,Gold Jewelry,6,4573232.0,73
2025-03-19,Brooch,Gold Jewelry,9,3500599.0,64
2025-03-20,Ring,Gold Jewelry,13,4417907.0,73
2025-03-21,Brooch,Gold Jewelry,13,4835803.0,51
2025-03-22,Anklet,Gold Jewelry,8,4018030.0,39
2025-03-23,Brooch,Gold Jewelry,6,2378884.0,45
2025-03-24,Bangle,Gold Jewelry,11,4870915.0,11
2025-03-25,Ring,Gold Jewelry,0,3879253.0,73
2025-03-26,Bangle,Gold Jewelry,11,4980827.0,100
2025-03-27,Bangle,Gold Jewelry,7,4405662.0,93
2025-03-28,Necklace,Gold Jewelry,3,2730605.0,51
2025-03-29,Ring,Gold Jewelry,2,3530016.0,71
2025-03-30,Bangle,Gold Jewelry,13,2959113.0,80
2025-03-31,Necklace,Gold Jewelry,12,4737294.0,39
2025-04-01,Necklace,Gold Jewelry,0,4256549.0,39
2025-04-02,Ring,Gold Jewelry,11,4391204.0,60
2025-04-03,Gold Bar,Gold Jewelry,2,2432721.0,24
2025-04-04,Charm,Gold Jewelry,7,2469832.0,51
2025-04-05,Anklet,Gold Jewelry,5,2339575.0,34
2025-04-06,Charm,Gold Jewelry,0,3507200.0,51
2025-04-07,Brooch,Gold Jewelry,3,2077336.0,42
2025-04-08,Anklet,Gold Jewelry,7,,27
2025-04-09,Brooch,Gold Jewelry,7,3691425.0,35
2025-04-10,Bangle,Gold Jewelry,11,4657122.0,69
2025-04-11,Earring,Gold Jewelry,0,3936963.0,52
2025-04-12,Ring,Gold Jewelry,8,3160316.0,52
2025-04-13,Anklet,Gold Jewelry,13,4823605.0,14
2025-04-14,Anklet,Gold Jewelry,4,3499447.0,10
2025-04-15,Bangle,Gold Jewelry,3,3671471.0,66
2025-04-16,Gold Bar,Gold Jewelry,5,4330848.0,19
2025-04-17,Necklace,Gold Jewelry,5,4465166.0,34
2025-04-18,Bangle,Gold Jewelry,1,3551839.0,65
2025-04-19,Pendant,Gold Jewelry,7,3690974.0,68
2025-04-20,Necklace,Gold Jewelry,6,2730796.0,28
2025-04-21,Ring,Gold Jewelry,0,2434039.0,52
2025-04-22,Necklace,Gold Jewelry,4,2584214.0,24
2025-04-23,Gold Bar,Gold Jewelry,11,4897351.0,8
2025-04-24,Necklace,Gold Jewelry,5,4967690.0,19
2025-04-25,Ring,Gold Jewelry,3,2498048.0,49
2025-04-26,Gold Bar,Gold Jewelry,1,2609939.0,7
2025-04-27,Charm,Gold Jewelry,12,2331452.0,39
2025-04-28,Anklet,Gold Jewelry,13,4396505.0,97
2025-04-29,Anklet,Gold Jewelry,3,2837883.0,94
2025-04-30,Brooch,Gold Jewelry,0,2236243.0,35
2025-05-01,Charm,Gold Jewelry,6,3198882.0,33
2025-05-02,Charm,Gold Jewelry,1,2809968.0,32
2025-05-03,Necklace,Gold Jewelry,12,5051568.0,7
2025-05-04,Anklet,Gold Jewelry,1,4251421.0,93
2025-05-05,Ring,Gold Jewelry,8,4976715.0,41
2025-05-06,Bracelet,Gold Jewelry,4,3669234.0,44
2025-05-07,Bracelet,Gold Jewelry,1,2690835.0,43
2025-05-08,Gold Bar,Gold Jewelry,10,2823778.0,97
2025-05-09,Anklet,Gold Jewelry,8,3040089.0,85
2025-05-10,Anklet,Gold Jewelry,8,2826871.0,77
2025-05-11,Bracelet,Gold Jewelry,0,3531760.0,43
2025-05-12,Anklet,Gold Jewelry,10,2208480.0,67
2025-05-13,Necklace,Gold Jewelry,0,4058503.0,7
2025-05-14,Pendant,Gold Jewelry,3,2568867.0,65
2025-05-15,Earring,Gold Jewelry,13,4501003.0,39
2025-05-16,Charm,Gold Jewelry,6,4373981.0,26
2025-05-17,Brooch,Gold Jewelry,9,2325354.0,26
2025-05-18,Gold Bar,Gold Jewelry,3,3828271.0,94
2025-05-19,Pendant,Gold Jewelry,1,4477725.0,64
2025-05-20,Bracelet,Gold Jewelry,6,3986660.0,37
2025-05-21,Charm,Gold Jewelry,5,2247241.0,21
2025-05-22,Anklet,Gold Jewelry,0,4306383.0,67
2025-05-23,Brooch,Gold Jewelry,5,4621982.0,21
2025-05-24,Anklet,Gold Jewelry,10,2835765.0,57
2025-05-25,Ring,Gold Jewelry,14,4508536.0,27
2025-05-26,Ring,Gold Jewelry,5,3547085.0,22
2025-05-27,Brooch,Gold Jewelry,11,4283840.0,10
2025-05-28,Brooch,Gold Jewelry,4,2382117.0,6
2025-05-29,Bracelet,Gold Jewelry,3,5054346.0,34
2025-05-30,Brooch,Gold Jewelry,9,2819248.0,97
2025-05-31,Necklace,Gold Jewelry,11,4129410.0,96
2025-06-01,Anklet,Gold Jewelry,14,2968888.0,43
2025-06-02,Pendant,Gold Jewelry,0,4553748.0,64
2025-06-03,Bangle,Gold Jewelry,9,2989243.0,56
2025-06-04,Brooch,Gold Jewelry,5,2811275.0,92
2025-06-05,Gold Bar,Gold Jewelry,1,4097834.0,93
2025-06-06,Ring,Gold Jewelry,12,3375819.0,10
2025-06-07,Necklace,Gold Jewelry,2,3112686.0,94
2025-06-08,Charm,Gold Jewelry,13,2677506.0,8
2025-06-09,Bangle,Gold Jewelry,7,3324492.0,49
2025-06-10,Pendant,Gold Jewelry,9,4079920.0,55
2025-06-11,Bangle,Gold Jewelry,13,2637218.0,36
2025-06-12,Brooch,Gold Jewelry,13,4201243.0,79
2025-06-13,Bracelet,Gold Jewelry,5,3911489.0,29
2025-06-14,Ring,Gold Jewelry,2,4081063.0,8
2025-06-15,Ring,Gold Jewelry,6,3679353.0,2
2025-06-16,Charm,Gold Jewelry,3,3207027.0,5
2025-06-17,Bracelet,Gold Jewelry,13,4199642.0,16
2025-06-18,Anklet,Gold Jewelry,8,2436414.0,35
2025-06-19,Earring,Gold Jewelry,14,5048444.0,25
2025-06-20,Necklace,Gold Jewelry,4,4432693.0,90
2025-06-21,Ring,Gold Jewelry,2,5005165.0,100
2025-06-22,Gold Bar,Gold Jewelry,1,4849545.0,92
2025-06-23,Ring,Gold Jewelry,10,2211432.0,90
2025-06-24,Bangle,Gold Jewelry,1,3126955.0,35
2025-06-25,Ring,Gold Jewelry,2,2355583.0,88
2025-06-26,Ring,Gold Jewelry,1,3839498.0,87
2025-06-27,Earring,Gold Jewelry,13,4745003.0,12
2025-06-28,Earring,Gold Jewelry,3,4175453.0,9
2025-06-29,Pendant,Gold Jewelry,1,4679868.0,54
2025-06-30,Anklet,Gold Jewelry,9,2772405.0,26
2025-07-01,Gold Bar,Gold Jewelry,8,3648926.0,84
2025-07-02,Ring,Gold Jewelry,1,3577561.0,86
2025-07-03,Ring,Gold Jewelry,8,5022202.0,78
2025-07-04,Necklace,Gold Jewelry,12,4684316.0,78
2025-07-05,Earring,Gold Jewelry,5,3793921.0,4
2025-07-06,Gold Bar,Gold Jewelry,0,2382220.0,84
2025-07-07,Charm,Gold Jewelry,3,3337953.0,2
2025-07-08,Pendant,Gold Jewelry,14,3489285.0,40
2025-07-09,Anklet,Gold Jewelry,13,2576225.0,13
2025-07-10,Bracelet,Gold Jewelry,0,5017705.0,16
2025-07-11,Anklet,Gold Jewelry,13,5010517.0,100
2025-07-12,Bangle,Gold Jewelry,5,4760749.0,30
2025-07-13,Ring,Gold Jewelry,13,2950400.0,65
2025-07-14,Pendant,Gold Jewelry,12,4631622.0,28
2025-07-15,Bangle,Gold Jewelry,3,3504478.0,27
2025-07-16,Gold Bar,Gold Jewelry,2,5019989.0,82
2025-07-17,Bracelet,Gold Jewelry,2,3082656.0,14
2025-07-18,Earring,Gold Jewelry,8,2962659.0,96
2025-07-19,Pendant,Gold Jewelry,5,3017496.0,23
2025-07-20,Pendant,Gold Jewelry,8,2848778.0,15
2025-07-21,Ring,Gold Jewelry,0,4337535.0,65
2025-07-22,Brooch,Gold Jewelry,4,3304920.0,75
2025-07-23,Pendant,Gold Jewelry,1,2849352.0,14
2025-07-24,Necklace,Gold Jewelry,7,3258618.0,71
2025-07-25,Bracelet,Gold Jewelry,4,3205186.0,10
2025-07-26,Bracelet,Gold Jewelry,1,4963613.0,9
2025-07-27,Necklace,Gold Jewelry,3,4228980.0,68
2025-07-28,Charm,Gold Jewelry,8,4838351.0,94
2025-07-29,Necklace,Gold Jewelry,14,3212310.0,54
2025-07-30,Necklace,Gold Jewelry,3,2917283.0,51
2025-07-31,Bracelet,Gold Jewelry,12,5020363.0,97
2025-08-01,Anklet,Gold Jewelry,11,3927367.0,89
2025-08-02,Bracelet,Gold Jewelry,11,5005533.0,86
2025-08-03,Brooch,Gold Jewelry,11,2445365.0,64
2025-08-04,Ring,Gold Jewelry,12,2983012.0,53
2025-08-05,Bangle,Gold Jewelry,14,3686315.0,13
2025-08-06,Anklet,Gold Jewelry,13,4137644.0,76
2025-08-07,Earring,Gold Jewelry,3,4007769.0,93
2025-08-08,Bangle,Gold Jewelry,1,3459090.0,12
2025-08-09,Ring,Gold Jewelry,12,2495893.0,41
2025-08-10,Brooch,Gold Jewelry,11,3282841.0,53
2025-08-11,Brooch,Gold Jewelry,14,3546601.0,39
2025-08-12,Earring,Gold Jewelry,5,4337041.0,88
2025-08-13,Anklet,Gold Jewelry,0,4923139.0,76
2025-08-14,Charm,Gold Jewelry,10,3358303.0,84
2025-08-15,Necklace,Gold Jewelry,0,4702554.0,51
2025-08-16,Anklet,Gold Jewelry,1,5022456.0,75
2025-08-17,Charm,Gold Jewelry,11,5001226.0,73
2025-08-18,Brooch,Gold Jewelry,6,4471872.0,33
2025-08-19,Bracelet,Gold Jewelry,2,3584793.0,84
2025-08-20,Ring,Gold Jewelry,14,2411708.0,27
2025-08-21,Earring,Gold Jewelry,2,2866186.0,86
2025-08-22,Ring,Gold Jewelry,4,5014206.0,23
2025-08-23,Gold Bar,Gold Jewelry,0,3215657.0,82
2025-08-24,Gold Bar,Gold Jewelry,1,4154482.0,81
2025-08-25,Anklet,Gold Jewelry,9,3044215.0,66
2025-08-26,Brooch,Gold Jewelry,8,4431856.0,25
2025-08-27,Brooch,Gold Jewelry,1,3568991.0,24
2025-08-28,Necklace,Gold Jewelry,13,4817193.0,38
2025-08-29,Necklace,Gold Jewelry,10,4515487.0,28
2025-08-30,Necklace,Gold Jewelry,1,3965719.0,27
2025-08-31,Bracelet,Gold Jewelry,12,3280662.0,72
2025-09-01,Bangle,Gold Jewelry,14,4674937.0,98
2025-09-02,Pendant,Gold Jewelry,7,3096250.0,7
2025-09-03,Bangle,Gold Jewelry,14,4634410.0,84
2025-09-04,Ring,Gold Jewelry,8,2547528.0,15
2025-09-05,Bangle,Gold Jewelry,6,4659110.0,78
2025-09-06,Bracelet,Gold Jewelry,2,3012403.0,70
2025-09-07,Ring,Gold Jewelry,8,4839723.0,7
2025-09-08,Bangle,Gold Jewelry,2,2737181.0,76
2025-09-09,Bracelet,Gold Jewelry,4,4381415.0,66
2025-09-10,Pendant,Gold Jewelry,8,3776824.0,99
2025-09-11,Bangle,Gold Jewelry,11,4045896.0,65
2025-09-12,Bracelet,Gold Jewelry,13,3198177.0,53
2025-09-13,Necklace,Gold Jewelry,13,3163311.0,14
2025-09-14,Brooch,Gold Jewelry,2,4636388.0,22
2025-09-15,Necklace,Gold Jewelry,6,2267727.0,8
2025-09-16,Brooch,Gold Jewelry,11,3902055.0,11
2025-09-17,Earring,Gold Jewelry,0,3128055.0,86
2025-09-18,Earring,Gold Jewelry,3,2822137.0,83
2025-09-19,Earring,Gold Jewelry,0,2412354.0,83
2025-09-20,Pendant,Gold Jewelry,6,4599010.0,93
2025-09-21,Necklace,Gold Jewelry,7,2811392.0,1
2025-09-22,Brooch,Gold Jewelry,0,,11
2025-09-23,Bracelet,Gold Jewelry,4,,49
2025-09-24,Ring,Gold Jewelry,6,3769091.0,1
2025-09-25,Bracelet,Gold Jewelry,11,2793827.0,38
2025-09-26,Ring,Gold Jewelry,3,3791153.0,98
2025-09-27,Gold Bar,Gold Jewelry,12,2285594.0,69
2025-09-28,Bracelet,Gold Jewelry,3,3620255.0,35
2025-09-29,Bangle,Gold Jewelry,3,4962683.0,62
2025-09-30,Bangle,Gold Jewelry,11,5025306.0,51
2025-10-01,Anklet,Gold Jewelry,10,5101134.0,56
2025-10-02,Necklace,Gold Jewelry,12,3943684.0,89
2025-10-03,Ring,Gold Jewelry,2,3947358.0,96
2025-10-04,Ring,Gold Jewelry,28,2617083.0,68
2025-10-05,Necklace,Gold Jewelry,8,3532816.0,81
2025-10-06,Pendant,Gold Jewelry,6,4040740.0,87
2025-10-07,Anklet,Gold Jewelry,28,3593589.0,28
2025-10-08,Pendant,Gold Jewelry,26,2208323.0,61
2025-10-09,Pendant,Gold Jewelry,24,4230921.0,37
2025-10-10,Pendant,Gold Jewelry,4,3754559.0,33
2025-10-11,Necklace,Gold Jewelry,12,4657110.0,69
2025-10-12,Pendant,Gold Jewelry,20,,13
2025-10-13,Bangle,Gold Jewelry,22,4438436.0,29
2025-10-14,Earring,Gold Jewelry,10,2250096.0,73
2025-10-15,Gold Bar,Gold Jewelry,26,3284840.0,43
2025-10-16,Ring,Gold Jewelry,12,2590790.0,56
2025-10-17,Ring,Gold Jewelry,8,4851684.0,48
2025-10-18,Gold Bar,Gold Jewelry,24,5057066.0,19
2025-10-19,Necklace,Gold Jewelry,10,3686224.0,59
2025-10-20,Bracelet,Gold Jewelry,8,3826989.0,27
2025-10-21,Necklace,Gold Jewelry,26,4112230.0,33
2025-10-22,Ring,Gold Jewelry,12,2515226.0,36
2025-10-23,Ring,Gold Jewelry,2,2273810.0,34
2025-10-24,Gold Bar,Gold Jewelry,26,2823673.0,93
2025-10-25,Pendant,Gold Jewelry,20,5051233.0,93
2025-10-26,Necklace,Gold Jewelry,8,4037529.0,25
2025-10-27,Brooch,Gold Jewelry,10,3243816.0,1
2025-10-28,Gold Bar,Gold Jewelry,10,,83
2025-10-29,Bangle,Gold Jewelry,28,4645824.0,1
2025-10-30,Ring,Gold Jewelry,8,4717099.0,26
2025-10-31,Gold Bar,Gold Jewelry,18,4724480.0,65
2025-11-01,Necklace,Gold Jewelry,12,2925210.0,13
2025-11-02,Ring,Gold Jewelry,18,4578437.0,8
2025-11-03,Bracelet,Gold Jewelry,14,3789675.0,13
2025-11-04,Gold Bar,Gold Jewelry,12,4696028.0,53
2025-11-05,Anklet,Gold Jewelry,8,2860673.0,20
2025-11-06,Ring,Gold Jewelry,0,2956349.0,8
2025-11-07,Necklace,Gold Jewelry,24,3883665.0,89
2025-11-08,Earring,Gold Jewelry,8,3316568.0,65
2025-11-09,Brooch,Gold Jewelry,18,3191891.0,83
2025-11-10,Charm,Gold Jewelry,2,2909994.0,71
2025-11-11,Pendant,Gold Jewelry,24,2580177.0,69
2025-11-12,Charm,Gold Jewelry,8,2800262.0,63
2025-11-13,Necklace,Gold Jewelry,8,2925876.0,81
2025-11-14,Bangle,Gold Jewelry,2,3298404.0,99
2025-11-15,Bangle,Gold Jewelry,8,3950376.0,91
2025-11-16,Earring,Gold Jewelry,24,4562157.0,41
2025-11-17,Pendant,Gold Jewelry,6,3243116.0,63
2025-11-18,Anklet,Gold Jewelry,0,3366684.0,20
2025-11-19,Earring,Gold Jewelry,4,3294276.0,37
2025-11-20,Charm,Gold Jewelry,0,4599328.0,63
2025-11-21,Earring,Gold Jewelry,22,3922511.0,15
2025-11-22,Charm,Gold Jewelry,20,2552270.0,43
2025-11-23,Ring,Gold Jewelry,28,2209002.0,80
2025-11-24,Bangle,Gold Jewelry,8,2579342.0,83
2025-11-25,Ring,Gold Jewelry,6,2879339.0,74
2025-11-26,Brooch,Gold Jewelry,12,3322022.0,71
2025-11-27,Pendant,Gold Jewelry,8,3280244.0,55
2025-11-28,Anklet,Gold Jewelry,18,4361655.0,2
2025-11-29,Charm,Gold Jewelry,26,3950006.0,17
2025-11-30,Anklet,Gold Jewelry,6,4484114.0,96
2025-12-01,Charm,Gold Jewelry,2,4045006.0,15
2025-12-02,Necklace,Gold Jewelry,6,2886674.0,75
2025-12-03,Earring,Gold Jewelry,22,2796889.0,93
2025-12-04,Brooch,Gold Jewelry,2,4535608.0,69
2025-12-05,Bangle,Gold Jewelry,14,4327996.0,69
2025-12-06,Charm,Gold Jewelry,4,3943529.0,11
2025-12-07,Anklet,Gold Jewelry,16,2565395.0,80
2025-12-08,Brooch,Gold Jewelry,24,3096279.0,45
2025-12-09,Bracelet,Gold Jewelry,6,4187654.0,7
2025-12-10,Bracelet,Gold Jewelry,24,4578653.0,83
2025-12-11,Ring,Gold Jewelry,10,4656851.0,64
2025-12-12,Bangle,Gold Jewelry,18,3715776.0,51
2025-12-13,Necklace,Gold Jewelry,8,3504420.0,67
2025-12-14,Anklet,Gold Jewelry,18,4004291.0,62
2025-12-15,Earring,Gold Jewelry,0,4703832.0,93
2025-12-16,Earring,Gold Jewelry,0,4364982.0,93
2025-12-17,Anklet,Gold Jewelry,0,2400391.0,62
2025-12-18,Pendant,Gold Jewelry,0,4486258.0,55
2025-12-19,Necklace,Gold Jewelry,0,4680237.0,67
2025-12-20,Brooch,Gold Jewelry,16,2367887.0,29
2025-12-21,Charm,Gold Jewelry,16,3466709.0,95
2025-12-22,Pendant,Gold Jewelry,0,2591670.0,55
2025-12-23,Charm,Gold Jewelry,2,4962067.0,93
2025-12-24,Charm,Gold Jewelry,22,3552573.0,71
2025-12-25,Pendant,Gold Jewelry,24,3702982.0,31
2025-12-26,Ring,Gold Jewelry,0,4714894.0,64
2025-12-27,Bracelet,Gold Jewelry,0,2542916.0,83
2025-12-28,Charm,Gold Jewelry,2,2358548.0,69
2025-12-29,Pendant,Gold Jewelry,18,3179082.0,13
2025-12-30,Pendant,Gold Jewelry,22,3583722.0,91
2025-12-31,Gold Bar,Gold Jewelry,14,3606663.0,39
2026-01-01,Ring,Gold Jewelry,4,4651646.0,60
2026-01-02,Bangle,Gold Jewelry,11,2869268.0,40
2026-01-03,Gold Bar,Gold Jewelry,10,2985455.0,29
2026-01-04,Gold Bar,Gold Jewelry,6,3295009.0,23
2026-01-05,Anklet,Gold Jewelry,1,4197648.0,61
2026-01-06,Bracelet,Gold Jewelry,0,4826431.0,83
2026-01-07,Pendant,Gold Jewelry,10,2458419.0,81
2026-01-08,Bracelet,Gold Jewelry,5,3705593.0,78
2026-01-09,Necklace,Gold Jewelry,7,4630791.0,60
2026-01-10,Anklet,Gold Jewelry,0,3165754.0,61
2026-01-11,Bangle,Gold Jewelry,14,2335245.0,26
2026-01-12,Bracelet,Gold Jewelry,0,3918992.0,78
2026-01-13,Earring,Gold Jewelry,11,2326186.0,82
2026-01-14,Charm,Gold Jewelry,6,4256636.0,63
2026-01-15,Necklace,Gold Jewelry,7,3245491.0,53
2026-01-16,Ring,Gold Jewelry,12,4008902.0,48
2026-01-17,Bangle,Gold Jewelry,2,3676176.0,24
2026-01-18,Necklace,Gold Jewelry,4,4174044.0,49
2026-01-19,Charm,Gold Jewelry,11,3146730.0,52
2026-01-20,Anklet,Gold Jewelry,0,2241976.0,61
2026-01-21,Charm,Gold Jewelry,6,4715120.0,46
2026-01-22,Gold Bar,Gold Jewelry,4,4556128.0,19
2026-01-23,Charm,Gold Jewelry,7,2405009.0,39
2026-01-24,Gold Bar,Gold Jewelry,12,4221320.0,7
2026-01-25,Anklet,Gold Jewelry,7,4006605.0,54
2026-01-26,Brooch,Gold Jewelry,8,3762399.0,21
2026-01-27,Gold Bar,Gold Jewelry,6,4512178.0,1
2026-01-28,Ring,Gold Jewelry,10,4143238.0,38
2026-01-29,Charm,Gold Jewelry,0,4291513.0,39
2026-01-30,Charm,Gold Jewelry,0,3592796.0,39
2026-01-31,Ring,Gold Jewelry,2,3192120.0,36
2026-02-01,Earring,Gold Jewelry,7,4333730.0,75
2026-02-02,Pendant,Gold Jewelry,2,2813241.0,79
2026-02-03,Brooch,Gold Jewelry,0,5158299.0,21
2026-02-04,Bangle,Gold Jewelry,0,2408359.0,24
2026-02-05,Gold Bar,Gold Jewelry,4,4408587.0,97
2026-02-06,Ring,Gold Jewelry,3,5038041.0,33
2026-02-07,Anklet,Gold Jewelry,4,3401114.0,50
2026-02-08,Gold Bar,Gold Jewelry,7,2246975.0,90
2026-02-09,Pendant,Gold Jewelry,9,5145726.0,70
2026-02-10,Anklet,Gold Jewelry,0,3404560.0,50
2026-02-11,Necklace,Gold Jewelry,13,3302577.0,36
2026-02-12,Charm,Gold Jewelry,3,3047581.0,36
2026-02-13,Necklace,Gold Jewelry,0,4493181.0,36
2026-02-14,Gold Bar,Gold Jewelry,3,2633233.0,87
2026-02-15,Pendant,Gold Jewelry,14,4970668.0,56
2026-02-16,Brooch,Gold Jewelry,2,3808470.0,19
2026-02-17,Gold Bar,Gold Jewelry,6,3737064.0,81
2026-02-18,Ring,Gold Jewelry,2,2424083.0,31
2026-02-19,Bracelet,Gold Jewelry,11,4668050.0,67
2026-02-20,Gold Bar,Gold Jewelry,2,4442938.0,79
2026-02-21,Charm,Gold Jewelry,10,2435189.0,26
2026-02-22,Charm,Gold Jewelry,9,4260311.0,17
2026-02-23,Gold Bar,Gold Jewelry,4,4285198.0,75
2026-02-24,Anklet,Gold Jewelry,4,3678419.0,46
2026-02-25,Bracelet,Gold Jewelry,13,4860324.0,54
2026-02-26,Ring,Gold Jewelry,5,4267001.0,26
2026-02-27,Gold Bar,Gold Jewelry,7,3015807.0,68
2026-02-28,Anklet,Gold Jewelry,9,3632358.0,37
2026-03-01,Charm,Gold Jewelry,5,3960982.0,12
2026-03-02,Charm,Gold Jewelry,14,4581810.0,98
2026-03-03,Pendant,Gold Jewelry,11,3658065.0,45
2026-03-04,Gold Bar,Gold Jewelry,0,2915995.0,68
2026-03-05,Bracelet,Gold Jewelry,14,3627562.0,40
2026-03-06,Earring,Gold Jewelry,7,4211461.0,68
2026-03-07,Bracelet,Gold Jewelry,7,3753814.0,33
2026-03-08,Charm,Gold Jewelry,8,2293577.0,90
2026-03-09,Charm,Gold Jewelry,8,3470352.0,82
2026-03-10,Necklace,Gold Jewelry,1,2531518.0,35
2026-03-11,Charm,Gold Jewelry,14,4383239.0,68
2026-03-12,Ring,Gold Jewelry,1,4064805.0,25
2026-03-13,Bangle,Gold Jewelry,2,4031205.0,22
2026-03-14,Gold Bar,Gold Jewelry,0,5129212.0,68
2026-03-15,Bracelet,Gold Jewelry,3,3860232.0,30
2026-03-16,Bangle,Gold Jewelry,13,5060511.0,9
2026-03-17,Anklet,Gold Jewelry,3,3609678.0,34
2026-03-18,Earring,Gold Jewelry,13,4612716.0,55
2026-03-19,Ring,Gold Jewelry,8,2472514.0,17
2026-03-20,Bracelet,Gold Jewelry,8,3150160.0,22
2026-03-21,Bangle,Gold Jewelry,8,4461332.0,1
2026-03-22,Earring,Gold Jewelry,9,4191380.0,46
2026-03-23,Necklace,Gold Jewelry,6,3007192.0,29
2026-03-24,Ring,Gold Jewelry,13,4293194.0,4
2026-03-25,Ring,Gold Jewelry,14,2659928.0,90
2026-03-26,Necklace,Gold Jewelry,1,3144614.0,28
