date,item_name,category,quantity_sold,unit_price,stock_left,revenue,month
2025-04-19,Pendant,Gold Jewelry,7,3690974.0,68,25836818.0,4
2025-04-20,Necklace,Gold Jewelry,6,2730796.0,28,16384776.0,4
2025-04-21,Ring,Gold Jewelry,0,2434039.0,52,0.0,4
2025-04-22,Necklace,Gold Jewelry,4,2584214.0,24,10336856.0,4
2025-04-23,Gold Bar,Gold Jewelry,11,4897351.0,8,53870861.0,4
2025-04-24,Necklace,Gold Jewelry,5,4967690.0,19,24838450.0,4
2025-04-25,Ring,Gold Jewelry,3,2498048.0,49,7494144.0,4
2025-04-26,Gold Bar,Gold Jewelry,1,2609939.0,7,2609939.0,4
2025-04-27,Charm,Gold Jewelry,12,2331452.0,39,27977424.0,4
2025-04-28,Anklet,Gold Jewelry,13,4396505.0,97,57154565.0,4
2025-04-29,Anklet,Gold Jewelry,3,2837883.0,94,8513649.0,4
2025-04-30,Brooch,Gold Jewelry,0,2236243.0,35,0.0,4
2025-05-01,Charm,Gold Jewelry,6,3198882.0,33,19193292.0,5
2025-05-02,Charm,Gold Jewelry,1,2809968.0,32,2809968.0,5
2025-05-03,Necklace,Gold Jewelry,12,4004291.0,7,48051492.0,5
2025-05-04,Anklet,Gold Jewelry,1,4251421.0,93,4251421.0,5
2025-05-05,Ring,Gold Jewelry,8,4976715.0,41,39813720.0,5
2025-05-06,Bracelet,Gold Jewelry,4,3669234.0,44,14676936.0,5
2025-05-07,Bracelet,Gold Jewelry,1,2690835.0,43,2690835.0,5
2025-05-08,Gold Bar,Gold Jewelry,10,2823778.0,97,28237780.0,5
2025-05-09,Anklet,Gold Jewelry,8,3040089.0,85,24320712.0,5
2025-05-10,Anklet,Gold Jewelry,8,2826871.0,77,22614968.0,5
2025-05-11,Bracelet,Gold Jewelry,0,3531760.0,43,0.0,5
2025-05-12,Anklet,Gold Jewelry,10,2208480.0,67,22084800.0,5
2025-05-13,Necklace,Gold Jewelry,0,4058503.0,7,0.0,5
2025-05-14,Pendant,Gold Jewelry,3,2568867.0,65,7706601.0,5
2025-05-15,Earring,Gold Jewelry,13,4501003.0,39,58513039.0,5
2025-05-16,Charm,Gold Jewelry,6,4373981.0,26,26243886.0,5
2025-05-17,Brooch,Gold Jewelry,9,2325354.0,26,20928186.0,5
2025-05-18,Gold Bar,Gold Jewelry,3,3828271.0,94,11484813.0,5
2025-05-19,Pendant,Gold Jewelry,1,4477725.0,64,4477725.0,5
2025-05-20,Bracelet,Gold Jewelry,6,3986660.0,37,23919960.0,5
2025-05-21,Charm,Gold Jewelry,5,2247241.0,21,11236205.0,5
2025-05-22,Anklet,Gold Jewelry,0,4306383.0,67,0.0,5
2025-05-23,Brooch,Gold Jewelry,5,4621982.0,21,23109910.0,5
2025-05-24,Anklet,Gold Jewelry,10,2835765.0,57,28357650.0,5
2025-05-25,Ring,Gold Jewelry,14,4508536.0,27,63119504.0,5
2025-05-26,Ring,Gold Jewelry,5,3547085.0,22,17735425.0,5
2025-05-27,Brooch,Gold Jewelry,11,4283840.0,10,47122240.0,5
2025-05-28,Brooch,Gold Jewelry,4,2382117.0,6,9528468.0,5
2025-05-29,Bracelet,Gold Jewelry,3,4004291.0,34,12012873.0,5
2025-05-30,Brooch,Gold Jewelry,9,2819248.0,97,25373232.0,5
2025-05-31,Necklace,Gold Jewelry,11,4129410.0,96,45423510.0,5
2025-06-01,Anklet,Gold Jewelry,14,2968888.0,43,41564432.0,6
2025-06-02,Pendant,Gold Jewelry,0,4553748.0,64,0.0,6
2025-06-03,Bangle,Gold Jewelry,9,2989243.0,56,26903187.0,6
2025-06-04,Brooch,Gold Jewelry,5,2811275.0,92,14056375.0,6
2025-06-05,Gold Bar,Gold Jewelry,1,4097834.0,93,4097834.0,6
2025-06-06,Ring,Gold Jewelry,12,3375819.0,10,40509828.0,6
2025-06-07,Necklace,Gold Jewelry,2,3112686.0,94,6225372.0,6
2025-06-08,Charm,Gold Jewelry,13,2677506.0,8,34807578.0,6
2025-06-09,Bangle,Gold Jewelry,7,3324492.0,49,23271444.0,6
2025-06-10,Pendant,Gold Jewelry,9,4079920.0,55,36719280.0,6
2025-06-11,Bangle,Gold Jewelry,13,2637218.0,36,34283834.0,6
2025-06-12,Brooch,Gold Jewelry,13,4201243.0,79,54616159.0,6
2025-06-13,Bracelet,Gold Jewelry,5,3911489.0,29,19557445.0,6
2025-06-14,Ring,Gold Jewelry,2,4081063.0,8,8162126.0,6
2025-06-15,Ring,Gold Jewelry,6,3679353.0,2,22076118.0,6
2025-06-16,Charm,Gold Jewelry,3,3207027.0,5,9621081.0,6
2025-06-17,Bracelet,Gold Jewelry,13,4199642.0,16,54595346.0,6
2025-06-18,Anklet,Gold Jewelry,8,2436414.0,35,19491312.0,6
2025-06-19,Earring,Gold Jewelry,14,4004291.0,25,56060074.0,6
2025-06-20,Necklace,Gold Jewelry,4,4432693.0,90,17730772.0,6
2025-06-21,Ring,Gold Jewelry,2,4004291.0,100,8008582.0,6
2025-06-22,Gold Bar,Gold Jewelry,1,4849545.0,92,4849545.0,6
2025-06-23,Ring,Gold Jewelry,10,2211432.0,90,22114320.0,6
2025-06-24,Bangle,Gold Jewelry,1,3126955.0,35,3126955.0,6
2025-06-25,Ring,Gold Jewelry,2,2355583.0,88,4711166.0,6
2025-06-26,Ring,Gold Jewelry,1,3839498.0,87,3839498.0,6
2025-06-27,Earring,Gold Jewelry,13,4745003.0,12,61685039.0,6
2025-06-28,Earring,Gold Jewelry,3,4175453.0,9,12526359.0,6
2025-06-29,Pendant,Gold Jewelry,1,4679868.0,54,4679868.0,6
2025-06-30,Anklet,Gold Jewelry,9,2772405.0,26,24951645.0,6
2025-07-01,Gold Bar,Gold Jewelry,8,3648926.0,84,29191408.0,7
2025-07-02,Ring,Gold Jewelry,1,3577561.0,86,3577561.0,7
2025-07-03,Ring,Gold Jewelry,8,4004291.0,78,32034328.0,7
2025-07-04,Necklace,Gold Jewelry,12,4684316.0,78,56211792.0,7
2025-07-05,Earring,Gold Jewelry,5,3793921.0,4,18969605.0,7
2025-07-06,Gold Bar,Gold Jewelry,0,2382220.0,84,0.0,7
2025-07-07,Charm,Gold Jewelry,3,3337953.0,2,10013859.0,7
2025-07-08,Pendant,Gold Jewelry,14,3489285.0,40,48849990.0,7
2025-07-09,Anklet,Gold Jewelry,13,2576225.0,13,33490925.0,7
2025-07-10,Bracelet,Gold Jewelry,0,4004291.0,16,0.0,7
2025-07-11,Anklet,Gold Jewelry,13,4004291.0,100,52055783.0,7
2025-07-12,Bangle,Gold Jewelry,5,4760749.0,30,23803745.0,7
2025-07-13,Ring,Gold Jewelry,13,2950400.0,65,38355200.0,7
2025-07-14,Pendant,Gold Jewelry,12,4631622.0,28,55579464.0,7
2025-07-15,Bangle,Gold Jewelry,3,3504478.0,27,10513434.0,7
2025-07-16,Gold Bar,Gold Jewelry,2,4004291.0,82,8008582.0,7
2025-07-17,Bracelet,Gold Jewelry,2,3082656.0,14,6165312.0,7
2025-07-18,Earring,Gold Jewelry,8,2962659.0,96,23701272.0,7
2025-07-19,Pendant,Gold Jewelry,5,3017496.0,23,15087480.0,7
2025-07-20,Pendant,Gold Jewelry,8,2848778.0,15,22790224.0,7
2025-07-21,Ring,Gold Jewelry,0,4337535.0,65,0.0,7
2025-07-22,Brooch,Gold Jewelry,4,3304920.0,75,13219680.0,7
2025-07-23,Pendant,Gold Jewelry,1,2849352.0,14,2849352.0,7
2025-07-24,Necklace,Gold Jewelry,7,3258618.0,71,22810326.0,7
2025-07-25,Bracelet,Gold Jewelry,4,3205186.0,10,12820744.0,7
2025-07-26,Bracelet,Gold Jewelry,1,4963613.0,9,4963613.0,7
2025-07-27,Necklace,Gold Jewelry,3,4228980.0,68,12686940.0,7
2025-07-28,Charm,Gold Jewelry,8,4838351.0,94,38706808.0,7
2025-07-29,Necklace,Gold Jewelry,14,3212310.0,54,44972340.0,7
2025-07-30,Necklace,Gold Jewelry,3,2917283.0,51,8751849.0,7
2025-07-31,Bracelet,Gold Jewelry,12,4004291.0,97,48051492.0,7
2025-08-01,Anklet,Gold Jewelry,11,3927367.0,89,43201037.0,8
2025-08-02,Bracelet,Gold Jewelry,11,4004291.0,86,44047201.0,8
2025-08-03,Brooch,Gold Jewelry,11,2445365.0,64,26899015.0,8
2025-08-04,Ring,Gold Jewelry,12,2983012.0,53,35796144.0,8
2025-08-05,Bangle,Gold Jewelry,14,3686315.0,13,51608410.0,8
2025-08-06,Anklet,Gold Jewelry,13,4137644.0,76,53789372.0,8
2025-08-07,Earring,Gold Jewelry,3,4007769.0,93,12023307.0,8
2025-08-08,Bangle,Gold Jewelry,1,3459090.0,12,3459090.0,8
2025-08-09,Ring,Gold Jewelry,12,2495893.0,41,29950716.0,8
2025-08-10,Brooch,Gold Jewelry,11,3282841.0,53,36111251.0,8
2025-08-11,Brooch,Gold Jewelry,14,3546601.0,39,49652414.0,8
2025-08-12,Earring,Gold Jewelry,5,4337041.0,88,21685205.0,8
2025-08-13,Anklet,Gold Jewelry,0,4923139.0,76,0.0,8
2025-08-14,Charm,Gold Jewelry,10,3358303.0,84,33583030.0,8
2025-08-15,Necklace,Gold Jewelry,0,4702554.0,51,0.0,8
2025-08-16,Anklet,Gold Jewelry,1,4004291.0,75,4004291.0,8
2025-08-17,Charm,Gold Jewelry,11,4004291.0,73,44047201.0,8
2025-08-18,Brooch,Gold Jewelry,6,4471872.0,33,26831232.0,8
2025-08-19,Bracelet,Gold Jewelry,2,3584793.0,84,7169586.0,8
2025-08-20,Ring,Gold Jewelry,14,2411708.0,27,33763912.0,8
2025-08-21,Earring,Gold Jewelry,2,2866186.0,86,5732372.0,8
2025-08-22,Ring,Gold Jewelry,4,4004291.0,23,16017164.0,8
2025-08-23,Gold Bar,Gold Jewelry,0,3215657.0,82,0.0,8
2025-08-24,Gold Bar,Gold Jewelry,1,4154482.0,81,4154482.0,8
2025-08-25,Anklet,Gold Jewelry,9,3044215.0,66,27397935.0,8
2025-08-26,Brooch,Gold Jewelry,8,4431856.0,25,35454848.0,8
2025-08-27,Brooch,Gold Jewelry,1,3568991.0,24,3568991.0,8
2025-08-28,Necklace,Gold Jewelry,13,4817193.0,38,62623509.0,8
2025-08-29,Necklace,Gold Jewelry,10,4515487.0,28,45154870.0,8
2025-08-30,Necklace,Gold Jewelry,1,3965719.0,27,3965719.0,8
2025-08-31,Bracelet,Gold Jewelry,12,3280662.0,72,39367944.0,8
2025-09-01,Bangle,Gold Jewelry,14,4674937.0,98,65449118.0,9
2025-09-02,Pendant,Gold Jewelry,7,3096250.0,7,21673750.0,9
2025-09-03,Bangle,Gold Jewelry,14,4634410.0,84,64881740.0,9
2025-09-04,Ring,Gold Jewelry,8,2547528.0,15,20380224.0,9
2025-09-05,Bangle,Gold Jewelry,6,4659110.0,78,27954660.0,9
2025-09-06,Bracelet,Gold Jewelry,2,3012403.0,70,6024806.0,9
2025-09-07,Ring,Gold Jewelry,8,4839723.0,7,38717784.0,9
2025-09-08,Bangle,Gold Jewelry,2,2737181.0,76,5474362.0,9
2025-09-09,Bracelet,Gold Jewelry,4,4381415.0,66,17525660.0,9
2025-09-10,Pendant,Gold Jewelry,8,3776824.0,99,30214592.0,9
2025-09-11,Bangle,Gold Jewelry,11,4045896.0,65,44504856.0,9
2025-09-12,Bracelet,Gold Jewelry,13,3198177.0,53,41576301.0,9
2025-09-13,Necklace,Gold Jewelry,13,3163311.0,14,41123043.0,9
2025-09-14,Brooch,Gold Jewelry,2,4636388.0,22,9272776.0,9
2025-09-15,Necklace,Gold Jewelry,6,2267727.0,8,13606362.0,9
2025-09-16,Brooch,Gold Jewelry,11,3902055.0,11,42922605.0,9
2025-09-17,Earring,Gold Jewelry,0,3128055.0,86,0.0,9
2025-09-18,Earring,Gold Jewelry,3,2822137.0,83,8466411.0,9
2025-09-19,Earring,Gold Jewelry,0,2412354.0,83,0.0,9
2025-09-20,Pendant,Gold Jewelry,6,4599010.0,93,27594060.0,9
2025-09-21,Necklace,Gold Jewelry,7,2811392.0,1,19679744.0,9
2025-09-22,Brooch,Gold Jewelry,0,4004291.0,11,0.0,9
2025-09-23,Bracelet,Gold Jewelry,4,3922407.0,49,15689628.0,9
2025-09-24,Ring,Gold Jewelry,6,3769091.0,1,22614546.0,9
2025-09-25,Bracelet,Gold Jewelry,11,2793827.0,38,30732097.0,9
2025-09-26,Ring,Gold Jewelry,3,3791153.0,98,11373459.0,9
2025-09-27,Gold Bar,Gold Jewelry,12,2285594.0,69,27427128.0,9
2025-09-28,Bracelet,Gold Jewelry,3,3620255.0,35,10860765.0,9
2025-09-29,Bangle,Gold Jewelry,3,4962683.0,62,14888049.0,9
2025-09-30,Bangle,Gold Jewelry,11,4004291.0,51,44047201.0,9
2025-10-01,Anklet,Gold Jewelry,10,4004291.0,56,40042910.0,10
2025-10-02,Necklace,Gold Jewelry,12,3943684.0,89,47324208.0,10
2025-10-03,Ring,Gold Jewelry,2,3947358.0,96,7894716.0,10
2025-10-04,Ring,Gold Jewelry,28,2617083.0,68,73278324.0,10
2025-10-05,Necklace,Gold Jewelry,8,3532816.0,81,28262528.0,10
2025-10-06,Pendant,Gold Jewelry,6,4040740.0,87,24244440.0,10
2025-10-07,Anklet,Gold Jewelry,28,3593589.0,28,100620492.0,10
2025-10-08,Pendant,Gold Jewelry,26,2208323.0,61,57416398.0,10
2025-10-09,Pendant,Gold Jewelry,24,4230921.0,37,101542104.0,10
2025-10-10,Pendant,Gold Jewelry,4,3754559.0,33,15018236.0,10
2025-10-11,Necklace,Gold Jewelry,12,4657110.0,69,55885320.0,10
2025-10-12,Pendant,Gold Jewelry,20,4004291.0,13,80085820.0,10
2025-10-13,Bangle,Gold Jewelry,22,4438436.0,29,97645592.0,10
2025-10-14,Earring,Gold Jewelry,10,2250096.0,73,22500960.0,10
2025-10-15,Gold Bar,Gold Jewelry,26,3284840.0,43,85405840.0,10
2025-10-16,Ring,Gold Jewelry,12,2590790.0,56,31089480.0,10
2025-10-17,Ring,Gold Jewelry,8,4851684.0,48,38813472.0,10
2025-10-18,Gold Bar,Gold Jewelry,24,4004291.0,19,96102984.0,10
2025-10-19,Necklace,Gold Jewelry,10,3686224.0,59,36862240.0,10
2025-10-20,Bracelet,Gold Jewelry,8,3826989.0,27,30615912.0,10
2025-10-21,Necklace,Gold Jewelry,26,4112230.0,33,106917980.0,10
2025-10-22,Ring,Gold Jewelry,12,2515226.0,36,30182712.0,10
2025-10-23,Ring,Gold Jewelry,2,2273810.0,34,4547620.0,10
2025-10-24,Gold Bar,Gold Jewelry,26,2823673.0,93,73415498.0,10
2025-10-25,Pendant,Gold Jewelry,20,4004291.0,93,80085820.0,10
2025-10-26,Necklace,Gold Jewelry,8,4037529.0,25,32300232.0,10
2025-10-27,Brooch,Gold Jewelry,10,3243816.0,1,32438160.0,10
2025-10-28,Gold Bar,Gold Jewelry,10,4004291.0,83,40042910.0,10
2025-10-29,Bangle,Gold Jewelry,28,4645824.0,1,130083072.0,10
2025-10-30,Ring,Gold Jewelry,8,4717099.0,26,37736792.0,10
2025-10-31,Gold Bar,Gold Jewelry,18,4724480.0,65,85040640.0,10
2025-11-01,Necklace,Gold Jewelry,12,2925210.0,13,35102520.0,11
2025-11-02,Ring,Gold Jewelry,18,4578437.0,8,82411866.0,11
2025-11-03,Bracelet,Gold Jewelry,14,3789675.0,13,53055450.0,11
2025-11-04,Gold Bar,Gold Jewelry,12,4696028.0,53,56352336.0,11
2025-11-05,Anklet,Gold Jewelry,8,2860673.0,20,22885384.0,11
2025-11-06,Ring,Gold Jewelry,0,2956349.0,8,0.0,11
2025-11-07,Necklace,Gold Jewelry,24,3883665.0,89,93207960.0,11
2025-11-08,Earring,Gold Jewelry,8,3316568.0,65,26532544.0,11
2025-11-09,Brooch,Gold Jewelry,18,3191891.0,83,57454038.0,11
2025-11-10,Charm,Gold Jewelry,2,2909994.0,71,5819988.0,11
2025-11-11,Pendant,Gold Jewelry,24,2580177.0,69,61924248.0,11
2025-11-12,Charm,Gold Jewelry,8,2800262.0,63,22402096.0,11
2025-11-13,Necklace,Gold Jewelry,8,2925876.0,81,23407008.0,11
2025-11-14,Bangle,Gold Jewelry,2,3298404.0,99,6596808.0,11
2025-11-15,Bangle,Gold Jewelry,8,3950376.0,91,31603008.0,11
2025-11-16,Earring,Gold Jewelry,24,4562157.0,41,109491768.0,11
2025-11-17,Pendant,Gold Jewelry,6,3243116.0,63,19458696.0,11
2025-11-18,Anklet,Gold Jewelry,0,3366684.0,20,0.0,11
2025-11-19,Earring,Gold Jewelry,4,3294276.0,37,13177104.0,11
2025-11-20,Charm,Gold Jewelry,0,4599328.0,63,0.0,11
2025-11-21,Earring,Gold Jewelry,22,3922511.0,15,86295242.0,11
2025-11-22,Charm,Gold Jewelry,20,2552270.0,43,51045400.0,11
2025-11-23,Ring,Gold Jewelry,28,2209002.0,80,61852056.0,11
2025-11-24,Bangle,Gold Jewelry,8,2579342.0,83,20634736.0,11
2025-11-25,Ring,Gold Jewelry,6,2879339.0,74,17276034.0,11
2025-11-26,Brooch,Gold Jewelry,12,3322022.0,71,39864264.0,11
2025-11-27,Pendant,Gold Jewelry,8,3280244.0,55,26241952.0,11
2025-11-28,Anklet,Gold Jewelry,18,4361655.0,2,78509790.0,11
2025-11-29,Charm,Gold Jewelry,26,3950006.0,17,102700156.0,11
2025-11-30,Anklet,Gold Jewelry,6,4484114.0,96,26904684.0,11
2025-12-01,Charm,Gold Jewelry,2,4045006.0,15,8090012.0,12
2025-12-02,Necklace,Gold Jewelry,6,2886674.0,75,17320044.0,12
2025-12-03,Earring,Gold Jewelry,22,2796889.0,93,61531558.0,12
2025-12-04,Brooch,Gold Jewelry,2,4535608.0,69,9071216.0,12
2025-12-05,Bangle,Gold Jewelry,14,4327996.0,69,60591944.0,12
2025-12-06,Charm,Gold Jewelry,4,3943529.0,11,15774116.0,12
2025-12-07,Anklet,Gold Jewelry,16,2565395.0,80,41046320.0,12
2025-12-08,Brooch,Gold Jewelry,24,3096279.0,45,74310696.0,12
2025-12-09,Bracelet,Gold Jewelry,6,4187654.0,7,25125924.0,12
2025-12-10,Bracelet,Gold Jewelry,24,4578653.0,83,109887672.0,12
2025-12-11,Ring,Gold Jewelry,10,4656851.0,64,46568510.0,12
2025-12-12,Bangle,Gold Jewelry,18,3715776.0,51,66883968.0,12
2025-12-13,Necklace,Gold Jewelry,8,3504420.0,67,28035360.0,12
2025-12-14,Anklet,Gold Jewelry,18,4004291.0,62,72077238.0,12
2025-12-15,Earring,Gold Jewelry,0,4703832.0,93,0.0,12
2025-12-16,Earring,Gold Jewelry,0,4364982.0,93,0.0,12
2025-12-17,Anklet,Gold Jewelry,0,2400391.0,62,0.0,12
2025-12-18,Pendant,Gold Jewelry,0,4486258.0,55,0.0,12
2025-12-19,Necklace,Gold Jewelry,0,4680237.0,67,0.0,12
2025-12-20,Brooch,Gold Jewelry,16,2367887.0,29,37886192.0,12
2025-12-21,Charm,Gold Jewelry,16,3466709.0,95,55467344.0,12
2025-12-22,Pendant,Gold Jewelry,0,2591670.0,55,0.0,12
2025-12-23,Charm,Gold Jewelry,2,4962067.0,93,9924134.0,12
2025-12-24,Charm,Gold Jewelry,22,3552573.0,71,78156606.0,12
2025-12-25,Pendant,Gold Jewelry,24,3702982.0,31,88871568.0,12
